Time,X,Y,Z,Psi,Vx_B,Vy_B,Vz_B,Ref_X,Ref_Y,Ref_Z,Ref_Psi,Ux,Uy,Uz,Upsi,Err_Int_X,Err_Int_Y,Err_Int_Z,Err_Int_Psi,CalcTime
2.76,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.6e-06
2.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.9e-06
2.82,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.1e-06
2.84,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
2.86,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2.88,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
2.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.1e-06
2.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
2.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.4e-06
2.96,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.4e-06
2.98,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
3,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.5e-06
3.02,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
3.04,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.2e-06
3.06,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
3.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,7.3e-06
3.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6e-06
3.12,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.2e-06
3.14,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.6e-06
3.16,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.9e-06
3.18,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.4e-06
3.2,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,4.5e-06
3.22,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.2e-06
3.24,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6e-06
3.26,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6e-06
3.28,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
3.3,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5e-06
3.32,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.5e-06
3.34,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
3.36,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.6e-06
3.38,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.4e-06
3.4,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
3.42,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.9e-06
3.44,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.98e-05
3.46,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.8e-06
3.48,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9e-06
3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,6.2e-06
3.52,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.5e-06
3.54,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,5.3e-06
3.56,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,2.24e-05
3.58,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.5e-05
3.6,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.48e-05
3.62,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.38e-05
3.64,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,2.05e-05
3.66,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,2.54e-05
3.68,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.26e-05
3.7,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.12e-05
3.72,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.1e-05
3.74,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.11e-05
3.76,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.32e-05
3.78,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.27e-05
3.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.39e-05
3.82,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.39e-05
3.84,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.37e-05
3.86,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.44e-05
3.88,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.5e-05
3.9,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,1.29e-05
3.92,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9e-06
3.94,0,0,1,0,0,0,0,0,0,1,0,0,0,0.545,0,0,0,0,0,9.1e-06
